Thuin;14683
Antoing;7757
Brunehaut;8103
Celles;5660
Estaimpuis;10393
Leuze‐en‐Hainaut;13881
Mont‐de‐l'Enclus;3719
Pecq;5594
Péruwelz;17103
Rumes;5179
Tournai (Doornik);69415
Amay;14299
Anthisnes;4198
Burdinne;3234
Clavier;4619
Engis;6116
Ferrières;4913
Hamoir;3867
Héron;5269
Huy (Hoei);21280
Marchin;5450
Modave;4199
Nandrin;5835
Ouffet;2805
Tinlot;2710
Verlaine;4174
Villers‐le‐Bouillet;6505
Wanze;13570
Ans;28237
Awans;9352
Aywaille;12393
Bassenge (Bitsingen);8987
Beyne‐Heusay;12008
Blegny;13309
Chaudfontaine;20927
Comblain‐au‐Pont;5390
Dalhem;7415
Esneux;12885
Flémalle;26167
Fléron;16487
Grâce‐Hollogne;22524
Herstal;39948
Juprelle;9286
Liège (Luik);196337
Neupré;9944
Oupeye;25288
Saint‐Nicolas;24242
Seraing;64141
Soumagne;16883
Sprimont;14650
Trooz;8173
Visé (Wezet);17752
Amel (Amblève);5477
Aubel;4230
Baelen;4437
Büllingen (Bullange);5472
Burg‐Reuland;3951
Bütgenbach (Butgenbach);5604
Dison;15366
Eupen;19499
Herve;17572
Jalhay;8591
Kelmis (La Calamine);11045
Lierneux;3598
Limbourg (Limburg);5941
Lontzen;5692
Malmedy;12644
Olne;4087
Pepinster;9771
Plombières;10397
Raeren;10684
Sankt Vith (Saint‐Vith);9678
Spa;10371
Stavelot;7144
Stoumont;3102
Theux;12027
Thimister‐Clermont;5724
Trois‐Ponts;2570
Verviers;55069
Waimes (Weismes);7430
Welkenraedt;9920
Berloz;3072
Braives;6325
Crisnée;3355
Donceel;3053
Faimes;3946
Fexhe‐le‐Haut‐Clocher;3259
Geer;3430
Hannut (Hannuit);16420
Lincent (Lijsem);3292
Oreye (Oerle);3916
Remicourt;5907
Saint‐Georges‐sur‐Meuse;6782
Waremme (Borgworm);15163
Wasseiges;2964
Arlon (Aarlen);29654
Attert;5535
Aubange;16871
Martelange;1816
Messancy;8168
Bastogne (Bastenaken);15887
Bertogne;3579
Fauvillers;2251
Gouvy;5202
Houffalize;5218
Sainte‐Ode;2556
Vaux‐sur‐Sûre;5650
Vielsalm;7813
Durbuy;11374
Erezée;3219
Hotton;5526
La Roche‐en‐Ardenne;4193
Manhay;3460
Marche‐en‐Famenne;17452
Nassogne;5477
Rendeux;2580
Tenneville;2842
Bertrix;8760
Bouillon;5352
Daverdisse;1409
Herbeumont;1622
Léglise;5364
Libin;5164
Libramont‐Chevigny;11185
Neufchâteau;7663
Paliseul;5390
Saint‐Hubert;5564
Tellin;2464
Wellin;3062
Chiny;5171
Etalle;5854
Florenville;5622
Habay;8381
Meix‐devant‐Virton;2822
Musson;4507
Rouvroy;2078
Saint‐Léger;3592
Tintigny;4276
Virton;11321
Anhée;7116
Beauraing;9154
Bièvre;3307
Ciney;16423
Dinant;13539
Gedinne;4563
Hamois;7349
Hastière;5979
Havelange;5131
Houyet;4872
Onhaye;3194
Rochefort;12555
Somme‐Leuze;5587
Vresse‐sur‐Semois;2635
Yvoir;9163
Andenne;26985
Assesse;6965
Eghezée;16243
Fernelmont;7923
Floreffe;8110
Fosses‐la‐Ville;10446
Gembloux;25934
Gesves;7205
Jemeppe‐sur‐Sambre;19077
La Bruyère;9232
Mettet;13032
Namur (Namen);110747
Ohey;5076
Profondeville;12194
Sambreville;28208
Sombreffe;8423
Cerfontaine;4927
Couvin;13766
Doische;2952
Florennes;11365
Philippeville;9230
Viroinval;5724
Walcourt;18377
